,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
817,2023-12-17 20:09:47.951762,USDT,FDUSDUSDT,0.99810000,MEMEFDUSD,0.03106300,MEMEUSDT,0.03101900,200.0,200.037,0.07400000000001228,BUY_BUY_SELL
43,2023-12-17 20:09:47.940469,USDT,ETHUSDT,2211.04000000,AXSETH,0.00318700,AXSUSDT,7.05000000,200.0,200.037,0.07400000000001228,BUY_BUY_SELL
715,2023-12-17 20:09:47.950097,USDT,GRTUSDT,0.15980000,GRTEUR,0.14630000,EURUSDT,1.09280000,200.0,200.036,0.07200000000000273,BUY_SELL_SELL
11,2023-12-17 20:09:47.937709,USDT,BTCUSDT,41671.94000000,WBTCBTC,0.99770000,WBTCUSDT,41595.77000000,200.0,200.034,0.06799999999998363,BUY_BUY_SELL
199,2023-12-17 20:09:47.943208,USDT,BNBUSDT,240.90000000,ENSBNB,0.03560000,ENSUSDT,8.58000000,200.0,200.032,0.06400000000002137,BUY_BUY_SELL
711,2023-12-17 20:09:47.950029,USDT,DOTUSDT,6.91100000,DOTEUR,6.32700000,EURUSDT,1.09280000,200.0,200.031,0.06200000000001183,BUY_SELL_SELL
257,2023-12-17 20:09:47.944259,USDT,TUSDUSDT,0.99810000,EDUTUSD,0.68441000,EDUUSDT,0.68342000,200.0,200.031,0.06200000000001183,BUY_BUY_SELL
837,2023-12-17 20:09:47.952035,USDT,AEURUSDT,1.09220000,EURAEUR,1.00010000,EURUSDT,1.09280000,200.0,200.03,0.060000000000002274,BUY_BUY_SELL
806,2023-12-17 20:09:47.951592,USDT,DOGEUSDT,0.09355000,DOGEFDUSD,0.09377000,FDUSDUSDT,0.99810000,200.0,200.029,0.057999999999992724,BUY_SELL_SELL
140,2023-12-17 20:09:47.942359,USDT,BNBUSDT,240.90000000,SANDBNB,0.00209000,SANDUSDT,0.50370000,200.0,200.027,0.053999999999973625,BUY_BUY_SELL
20,2023-12-17 20:09:47.939432,USDT,BNBUSDT,240.90000000,BNBETH,0.10900000,ETHUSDT,2211.04000000,200.0,200.026,0.05200000000002092,BUY_SELL_SELL
60,2023-12-17 20:09:47.941068,USDT,WBETHUSDT,2260.26000000,WBETHETH,1.02270000,ETHUSDT,2211.04000000,200.0,200.026,0.05200000000002092,BUY_SELL_SELL
45,2023-12-17 20:09:47.940539,USDT,DOTUSDT,6.91100000,DOTETH,0.00312700,ETHUSDT,2211.04000000,200.0,200.025,0.05000000000001136,BUY_SELL_SELL
708,2023-12-17 20:09:47.949989,USDT,EURUSDT,1.09280000,XRPEUR,0.56300000,XRPUSDT,0.61550000,200.0,200.022,0.04399999999998272,BUY_BUY_SELL
126,2023-12-17 20:09:47.942147,USDT,SOLUSDT,72.00000000,SOLBNB,0.29900000,BNBUSDT,240.90000000,200.0,200.021,0.04199999999997317,BUY_SELL_SELL
727,2023-12-17 20:09:47.950267,USDT,EURUSDT,1.09280000,TRXEUR,0.09407000,TRXUSDT,0.10284000,200.0,200.018,0.036000000000001364,BUY_BUY_SELL
95,2023-12-17 20:09:47.941582,USDT,BNBUSDT,240.90000000,XRPBNB,0.00255400,XRPUSDT,0.61550000,200.0,200.018,0.036000000000001364,BUY_BUY_SELL
5,2023-12-17 20:09:47.937276,USDT,BTCUSDT,41671.94000000,BCHBTC,0.00545000,BCHUSDT,227.20000000,200.0,200.017,0.033999999999991815,BUY_BUY_SELL
8,2023-12-17 20:09:47.937563,USDT,YFIUSDT,8352.00000000,YFIBTC,0.20050000,BTCUSDT,41671.94000000,200.0,200.017,0.033999999999991815,BUY_SELL_SELL
38,2023-12-17 20:09:47.940282,USDT,WBTCUSDT,41595.77000000,WBTCETH,18.82000000,ETHUSDT,2211.04000000,200.0,200.017,0.033999999999991815,BUY_SELL_SELL
223,2023-12-17 20:09:47.943798,USDT,TUSDUSDT,0.99810000,ETHTUSD,2214.40000000,ETHUSDT,2211.04000000,200.0,200.017,0.033999999999991815,BUY_BUY_SELL
56,2023-12-17 20:09:47.940942,USDT,SNXUSDT,3.90100000,SNXETH,0.00176500,ETHUSDT,2211.04000000,200.0,200.016,0.031999999999982265,BUY_SELL_SELL
